1	1	88	43	330	1
2	2	78	41	160	1
3	3	78	41	344	1
4	4	84	38	323	1
5	5	79	36	225	1
6	6	91	36	311	1
7	7	88	36	178	1
8	8	85	34	16	1
9	9	92	34	2	1
10	10	78	34	103	1
11	11	95	33	61	1
12	12	96	33	162	1
13	13	88	32	245	1
14	14	84	32	1	1
15	15	85	32	129	1
16	16	92	32	280	1
17	17	91	32	250	1
18	18	94	31	193	1
19	19	89	30	123	1
20	20	99	30	260	1
21	21	102	30	39	1
22	22	96	27	287	1
23	23	101	27	63	1
24	24	95	27	308	1
25	25	90	26	222	1
26	26	98	23	47	1
27	27	110	23	371	1
28	28	114	19	12	1
29	29	123	17	8	1
30	30	107	16	257	1
31	1	77	37	234	2
32	2	84	37	160	2
33	3	89	36	287	2
34	4	91	35	278	2
35	5	98	33	162	2
36	6	86	33	129	2
37	7	82	31	103	2
38	8	105	29	319	2
39	9	102	28	41	2
40	10	93	27	93	2
41	11	96	26	145	2
42	12	105	25	61	2
43	13	93	25	222	2
44	14	111	23	231	2
45	15	101	22	323	2
46	16	95	22	1	2
47	17	112	21	260	2
48	18	126	16	8	2
49	1	91	30	129	3
50	2	95	28	93	3
51	3	88	28	234	3
52	4	98	27	323	3
53	5	112	25	319	3
54	6	101	24	47	3
55	7	109	23	41	3
56	8	101	23	145	3
57	9	97	22	1	3
58	10	112	21	260	3
59	11	104	19	160	3
60	12	109	19	278	3
61	13	102	18	222	3
62	14	97	18	103	3
63	15	120	16	231	3
64	16	118	15	162	3
65	17	112	15	287	3
66	18	119	13	61	3
67	19	135	9	8	3
68	1	80	34	234	4
69	2	90	34	323	4
70	3	89	34	47	4
71	4	100	31	260	4
72	5	89	31	93	4
73	6	95	31	278	4
74	7	89	30	129	4
75	8	84	29	103	4
76	9	92	29	145	4
77	10	94	28	160	4
78	11	98	27	287	4
79	12	103	27	61	4
80	13	91	27	1	4
81	14	92	26	222	4
82	15	108	26	319	4
83	16	105	25	162	4
84	17	107	23	41	4
85	18	113	21	231	4
86	19	123	19	8	4
87	1	82	40	16	5
88	2	77	39	338	5
89	3	79	38	225	5
90	4	86	38	323	5
91	5	84	37	160	5
92	6	85	37	293	5
93	7	85	36	344	5
94	8	95	36	269	5
95	9	80	36	334	5
96	10	92	35	193	5
97	11	89	34	28	5
98	12	92	33	287	5
99	13	86	33	363	5
100	14	86	33	129	5
101	15	96	32	2	5
102	16	99	31	63	5
103	17	99	31	162	5
104	18	100	30	61	5
105	19	88	30	222	5
106	20	99	29	3	5
107	21	91	29	93	5
108	22	104	28	27	5
109	23	94	27	123	5
110	24	88	27	310	5
111	25	98	27	178	5
112	26	90	27	1	5
113	27	88	25	103	5
114	28	98	24	145	5
115	29	95	21	241	5
116	30	125	17	8	5
117	1	75	42	316	6
118	2	82	38	222	6
119	3	81	36	234	6
120	4	86	36	369	6
121	5	92	35	287	6
122	6	86	31	334	6
123	7	99	31	2	6
124	8	95	30	28	6
125	9	91	30	294	6
126	10	104	29	269	6
127	11	106	27	260	6
128	12	99	27	323	6
129	13	109	27	319	6
130	14	94	25	225	6
131	15	95	24	350	6
132	16	95	22	310	6
133	17	116	21	370	6
134	18	126	18	8	6
135	1	96	37	61	7
136	2	84	37	222	7
137	3	84	33	310	7
138	4	94	33	287	7
139	5	85	32	334	7
140	6	86	31	234	7
141	7	86	31	316	7
142	8	94	29	145	7
143	9	105	29	260	7
144	10	90	28	357	7
145	11	100	28	193	7
146	12	98	27	47	7
147	13	99	26	28	7
148	14	93	26	225	7
149	15	110	26	319	7
150	16	89	26	103	7
151	17	101	25	323	7
152	18	108	24	63	7
153	19	104	23	367	7
154	20	107	23	3	7
155	21	110	22	269	7
156	22	115	21	368	7
157	23	100	19	338	7
158	24	105	18	264	7
159	25	126	18	8	7
160	26	114	18	2	7
161	1	82	43	145	8
162	2	93	40	63	8
163	3	92	36	193	8
164	4	95	34	2	8
165	5	85	32	338	8
166	6	93	31	341	8
167	7	93	29	160	8
168	8	96	28	28	8
169	9	104	27	269	8
170	10	98	26	47	8
171	11	99	26	323	8
172	12	110	25	319	8
173	13	119	24	8	8
174	14	94	22	234	8
175	15	108	22	267	8
176	16	126	8	260	8
177	1	97	37	366	9
178	2	78	36	103	9
179	3	83	34	357	9
180	4	84	34	294	9
181	5	93	33	278	9
182	6	98	33	61	9
183	7	92	32	323	9
184	8	101	31	63	9
185	9	104	30	12	9
186	10	100	30	269	9
187	11	92	30	16	9
188	12	85	30	334	9
189	13	96	29	145	9
190	14	100	28	2	9
191	15	89	28	225	9
192	16	98	27	28	9
193	17	92	27	129	9
194	18	89	26	310	9
195	19	97	26	47	9
196	20	102	26	3	9
