Date:Player:Handicap:Status
2014/10/01:330:25.9:1
2014/10/01:160:14.4:1
2014/10/01:344:14.4:1
2014/10/01:225:11.3:1
2014/10/01:178:19.3:1
2014/10/01:103:7.6:1
2014/10/01:2:22.3:1
2014/10/01:16:15:1
2014/10/01:162:24.7:1
2014/10/01:61:23.7:1
2014/10/01:280:19.9:1
2014/10/01:250:18.5:1
2014/10/01:245:15.9:1
2014/10/01:1:11.6:1
2014/10/01:129:12.6:1
2014/10/01:310:8.9:1
2014/10/01:193:20.6:1
2014/10/01:260:25.4:1
2014/10/01:123:14.7:1
2014/10/01:287:18.6:1
2014/10/01:308:18.2:1
2014/10/01:63:24.1:1
2014/10/01:222:12.1:1
2014/10/01:47:16.7:1
2014/10/01:257:18.9:1
2014/09/29:371:28:0
2014/09/29:1:11.5:1
2014/09/17:234:7.8:1
2014/09/17:93:14.2:1
2014/09/17:145:15.7:1
2014/09/17:323:17.3:1
2014/09/17:160:14.7:1
2014/09/17:103:7.5:1
2014/09/17:61:23.6:1
2014/09/17:1:11.4:1
2014/09/17:129:12.5:1
2014/09/17:260:25.3:1
2014/09/17:287:18.5:1
2014/09/17:222:12:1
2014/09/14:278:19.8:1
2014/09/14:145:15.6:1
2014/09/14:160:15.3:1
2014/09/14:103:7.4:1
2014/09/14:162:24.6:1
2014/09/14:61:23.5:1
2014/09/14:1:11.4:1
2014/09/14:129:12.7:1
2014/09/14:260:25.2:1
2014/09/14:287:18.8:1
2014/09/14:222:11.9:1
2014/09/13:234:8.2:1
2014/09/13:145:15.5:1
2014/09/13:323:17.2:1
2014/09/13:160:15.2:1
2014/09/13:103:7.3:1
2014/09/13:162:24.5:1
2014/09/13:61:23.4:1
2014/09/13:1:11.3:1
2014/09/13:287:18.7:1
2014/09/13:222:11.8:1
2014/09/13:47:16.6:1
2014/09/13:47:16.5:1
2014/09/07:338:9.9:1
2014/09/07:363:12.5:1
2014/09/07:3:22.3:1
2014/09/07:27:26:1
2014/09/07:241:9.9:1
2014/09/07:93:14.1:1
2014/09/07:145:15.4:1
2014/09/07:323:17.5:1
2014/09/07:225:11.2:1
2014/09/07:178:19.2:1
2014/09/07:2:22.2:1
2014/09/07:16:14.9:1
2014/09/07:162:24.4:1
2014/09/07:61:23.3:1
2014/09/07:1:11.2:1
2014/09/07:129:12.7:1
2014/09/07:310:8.8:1
2014/09/07:123:14.6:1
2014/09/07:287:18.6:1
2014/09/07:63:24:1
2014/09/07:222:11.7:1
2014/07/28:316:7.9:1
2014/07/28:334:9.5:1
2014/07/28:294:12.2:1
2014/07/28:28:16.8:1
2014/07/28:234:8.4:1
2014/07/28:323:17.8:1
2014/07/28:225:11.4:1
2014/07/28:310:8.7:1
2014/07/28:260:25.1:1
2014/07/28:222:11.6:1
2014/07/27:357:10.4:1
2014/07/27:269:24.5:1
2014/07/27:264:15.5:1
2014/07/27:369:14:0
