1	2
2	26
3	12
4	27
5	3
6	32
7	8
8	1
9	61
10	28
11	2
12	26
13	86
14	12
15	26
16	3
17	32
18	8
19	1
20	61
21	28
22	26
23	49
24	61
25	12
26	27
26	80
27	50
27	61
28	3
29	8
30	1
30	2
31	61
32	28
33	27
34	26
35	99
36	12
37	3
38	80
38	188
39	30
40	8
41	1
41	2
42	61
43	28
44	8
44	27
45	26
46	160
47	12
48	172
49	3
50	27
50	80
51	8
52	1
52	2
53	61
54	28
55	24
56	170
57	3
58	12
59	61
60	8
61	222
62	27
62	80
63	8
64	1
64	2
65	28
66	61
67	8
68	8
69	3
70	12
71	49
72	27
73	222
74	27
74	80
75	8
76	1
76	2
77	28
78	61
79	8
80	178
81	3
82	12
83	80
83	27
84	222
85	27
85	80
86	8
87	1
87	2
88	28
89	61
90	8
91	178
92	61
92	16
93	12
94	3
95	222
96	27
96	80
97	8
98	1
98	2
99	28
100	61
101	8
102	160
103	3
104	12
105	28
106	16
107	27
107	80
108	8
109	1
109	2
110	222
111	61
112	8
113	178
114	3
115	12
116	61
117	28
118	16
119	27
120	8
121	2
122	222
123	61
124	8
125	160
126	3
127	12
128	172
129	28
130	16
131	27
132	8
133	2
134	222
135	61
136	8
137	160
138	3
139	12
140	8
141	16
142	222
143	28
144	27
145	8
146	2
147	103
148	61
149	8
150	178
151	47
151	27
152	12
153	16
154	3
155	222
156	28
157	27
158	8
159	1
159	2
160	103
161	61
162	8
163	178
164	3
165	12
166	24
167	16
168	28
169	222
170	8
171	8
172	1
172	2
173	103
174	61
175	8
176	178
177	3
178	12
179	24
180	16
181	28
182	225
183	222
184	8
185	8
186	1
186	2
187	103
188	160
189	8
270	8
271	234
