Position:Player:Points:Matches:Lowest
1:323:213:6:34
=2:160:212:6:31
=2:338:212:6:32
4:357:206:6:33
=5:344:204:6:30
=5:234:204:6:29
7:225:203:6:30
8:287:200:6:27
9:16:199:6:25
=10:2:198:6:31
=10:278:198:6:31
12:222:197:6:26
13:129:190:6:30
=14:145:189:6:28
=14:193:189:6:27
16:103:188:6:26
=17:61:187:6:27
=17:63:187:6:24
19:310:186:6:27
20:1:185:6:27
21:269:184:6:27
22:28:183:6:28
23:162:181:6:25
24:178:178:6:27
25:260:177:6:27
26:93:172:6:25
=27:47:167:6:26
=27:250:167:6:26
29:245:166:6:19
30:27:163:6:24
31:319:159:6:25
32:308:148:5:25
33:257:146:5:16
34:330:137:4:27
=35:334:129:4:30
=35:12:129:6:11
37:3:126:5:20
38:184:119:4:24
39:8:118:6:18
40:363:83:3:25
41:80:78:3:22
42:316:73:2:31
43:185:72:3:13
44:294:64:2:30
45:280:59:2:27
46:123:57:2:27
47:264:53:2:18
48:311:51:2:15
49:241:45:2:21
50:24:38:2:18
51:293:37:1:37
=52:191:0:0:0
=52:227:0:0:0
=52:296:0:0:0
=52:271:0:0:0
=52:263:0:0:0
=52:309:0:0:0
=52:172:0:0:0
=52:86:0:0:0
=52:228:0:0:0
=52:205:0:0:0
=52:188:0:0:0
=52:272:0:0:0
=52:210:0:0:0
=52:116:0:0:0
=52:265:0:0:0
=52:255:0:0:0
=52:207:0:0:0
=52:275:0:0:0
=52:21:0:0:0
