1	1	1
2	2	72
3	3	6
4	4	8
5	5	7
6	6	74
7	7	5
8	8	2
9	9	12
10	10	9
11	11	1
12	12	72
13	13	95
14	14	6
15	15	72
16	16	7
17	17	74
18	18	5
19	19	2
20	20	12
21	21	9
22	22	72
23	23	87
24	24	12
25	25	6
26	26	8
27	26	14
28	27	85
29	27	12
30	28	7
31	29	5
32	30	2
33	30	1
34	31	12
35	32	9
36	33	8
37	34	72
38	35	97
39	36	6
40	37	7
41	38	14
42	38	119
43	39	78
44	40	5
45	41	2
46	41	1
47	42	12
48	43	9
49	44	5
50	44	8
51	45	72
52	46	24
53	47	6
54	48	23
55	49	7
56	50	8
57	50	14
58	51	5
59	52	2
60	52	1
61	53	12
62	54	9
63	55	3
64	56	118
65	57	7
66	58	6
67	59	12
68	60	5
69	61	28
70	62	8
71	62	14
72	63	5
73	64	2
74	64	1
75	65	9
76	66	12
77	67	5
78	68	5
79	69	7
80	70	6
81	71	87
82	72	8
83	73	28
84	74	8
85	74	14
86	75	5
87	76	2
88	76	1
89	77	9
90	78	12
91	79	5
92	80	25
93	81	7
94	82	6
95	83	14
96	83	8
97	84	28
98	85	8
99	85	14
100	86	5
101	87	2
102	87	1
103	88	9
104	89	12
105	90	5
106	91	25
107	92	12
108	92	4
109	93	6
110	94	7
111	95	28
112	96	8
113	96	14
114	97	5
115	98	2
116	98	1
117	99	9
118	100	12
119	101	5
120	102	24
121	103	7
122	104	6
123	105	9
124	106	4
125	107	8
126	107	14
127	108	5
128	109	2
129	109	1
130	110	28
131	111	12
132	112	5
133	113	25
134	114	7
135	115	6
136	116	12
137	117	9
138	118	4
139	119	8
140	120	5
141	121	1
142	122	28
143	123	12
144	124	5
145	125	24
146	126	7
147	127	6
148	128	23
149	129	9
150	130	4
151	131	8
152	132	5
153	133	1
154	134	28
155	135	12
156	136	5
157	137	24
158	138	7
159	139	6
160	140	5
161	141	4
162	142	28
163	143	9
164	144	8
165	145	5
166	146	1
167	147	15
168	148	12
169	149	5
170	150	25
171	151	10
172	151	8
173	152	6
174	153	4
175	154	7
176	155	28
177	156	9
178	157	8
179	158	5
180	159	2
181	159	1
182	160	15
183	161	12
184	162	5
185	163	25
186	164	7
187	165	6
188	166	3
189	167	4
190	168	9
191	169	28
192	170	5
193	171	5
194	172	2
195	172	1
196	173	15
197	174	12
198	175	5
199	176	25
200	177	7
201	178	6
202	179	3
203	180	4
204	181	9
205	182	126
206	183	28
207	184	5
208	185	5
209	186	2
210	186	1
211	187	15
212	188	24
213	189	5
